ID,NAME,DESC,TO_LOC,IMAGE,GROUPS,ORDER,CATEG,WHERE
bias-sample-perc,,,,tbd,tbd,tbd,sampling-demo,tbd
,,,,tbd,tbd,tbd,sampling-demo,tbd
,,,,tbd,tbd,tbd,sampling-demo,tbd
,,,,tbd,tbd,tbd,sampling-demo,tbd
,,,,tbd,tbd,tbd,sampling-demo,tbd
,,,,tbd,tbd,tbd,sampling-demo,tbd
central-limit-theorem,Explore the Central Limit Theorem Visually,Visually explore the implications of the central limit theorem,/root/central-limit-theorem,tbd,tbd,tbd,sampling-distr,tbd
difference-in-means-sampdist,Sampling distributions for comparing means in two populations,Visually explore how sampling distributions help us compare the two population means via sampling.,/root/difference-in-means-sampdist,tbd,tbd,tbd,sampling-distr,tbd
sample-percentages-sampdist,Explore the sampling distribution of sample percentages,Generate a sampling distribution for sample percentages based on a population,/root/sample-percentages-sampdist,tbd,tbd,tbd,sampling-distr,tbd
simulations,Explore the Law of Large Numbers,Three simulations show the impact of the law of large numbers on random events.,/root/simulations,tbd,tbd,tbd,law-large-numbers,tbd
